% Version 1.00
%
%freq[Hz],re:Trc13_S21,im:Trc13_S21,re:cap2_p2_0_1_plstc_S21,im:cap2_p2_0_1_plstc_S21,re:cap2_p2_1_plstc_S21,im:cap2_p2_1_plstc_S21,re:cap2_p2_0_5_plstc_S21,im:cap2_p2_0_5_plstc_S21,
1.540000000000000E+009,-8.202327265025177E-001,-5.271241779977715E-001,-8.258064981434694E-001,-5.210445523510252E-001,-8.257303131501376E-001,-5.191477033095728E-001,-8.260037612915041E-001,-5.183276104927063E-001,
1.545000000000000E+009,-8.240672978764193E-001,-5.202332974120538E-001,-8.296055205988773E-001,-5.141335195723586E-001,-8.295198347019883E-001,-5.121631621533377E-001,-8.296900749206545E-001,-5.112326455116272E-001,
1.550000000000000E+009,-8.279954973074822E-001,-5.133820986815934E-001,-8.334419728175997E-001,-5.071786269389274E-001,-8.334404308469007E-001,-5.051705577278881E-001,-8.335617780685427E-001,-5.041327619552614E-001,
1.555000000000000E+009,-8.319892504041234E-001,-5.066794980368592E-001,-8.373711809562627E-001,-5.004392874491033E-001,-8.373213443545513E-001,-4.983081184709887E-001,-8.373151874542237E-001,-4.970916903018952E-001,
1.560000000000000E+009,-8.361729364677669E-001,-4.995965782906162E-001,-8.414250035992331E-001,-4.934441487593962E-001,-8.413145338524395E-001,-4.910912662568064E-001,-8.411087036132814E-001,-4.898029506206513E-001,
1.565000000000000E+009,-8.397045934668159E-001,-4.923602602973558E-001,-8.449311667694137E-001,-4.860785425140763E-001,-8.447346640861555E-001,-4.835994506532381E-001,-8.442067813873291E-001,-4.823134016990662E-001,
1.570000000000000E+009,-8.433406561787278E-001,-4.852528006155468E-001,-8.485454729091804E-001,-4.789297490437043E-001,-8.480390381089278E-001,-4.763034741882929E-001,-8.472661590576174E-001,-4.749362778663636E-001,
1.575000000000000E+009,-8.469918174796877E-001,-4.780050461481956E-001,-8.521878252317594E-001,-4.716275518892837E-001,-8.515014957686111E-001,-4.687450675351856E-001,-8.500607657432556E-001,-4.676110601425172E-001,
1.580000000000000E+009,-8.504233699391324E-001,-4.708889470777723E-001,-8.555126508382970E-001,-4.644459277557481E-001,-8.545624360904141E-001,-4.612871983613258E-001,-8.526423358917238E-001,-4.606737875938416E-001,
1.585000000000000E+009,-8.537919014177022E-001,-4.640782230195781E-001,-8.587630896431343E-001,-4.576214670967246E-001,-8.574960270703189E-001,-4.542490739416146E-001,-8.552673935890199E-001,-4.545634067058564E-001,
